"Season","Team","W","L","G_p","GS","CG","ShO","SV","ER","HR_p","BB_p","K_p","pWAR","G_h","AB","PA","H","1B","2B","3B","HR_h","R","RBI","BB_h","K_h","SB","hWAR","Age","WAR","Wins"
1954,"Pirates",43,90,326,133,30,3,15,674,118,479,433,10.6,1805,4892,5602,1228,927,172,54,75,534,512,534,690,21,-0.3,25,10.3,53
1954,"Red Sox",69,85,380,156,41,9,22,630,118,612,707,16.6,1749,4778,5481,1263,900,217,38,108,616,571,566,608,50,18.4,26,35,69
1954,"Tigers",56,70,282,125,49,11,9,475,106,414,518,9.4,1638,4601,5130,1206,902,190,38,76,517,488,418,523,43,13.5,26,22.9,68
1954,"White Sox",89,55,291,152,59,21,27,449,88,491,669,19.3,1626,4588,5312,1244,933,182,46,83,647,570,543,481,91,28.5,28.5,47.8,94
1954,"Yankees",97,47,293,149,51,15,33,459,83,503,621,14.1,2001,5207,6007,1396,989,215,59,133,804,747,649,627,34,33,29,47.1,103
1955,"Athletics",57,80,365,137,28,7,21,734,155,662,523,0.9,1763,4627,5115,1182,875,161,35,111,542,505,384,633,16,5.8,27.5,6.7,63
1955,"Braves",85,69,357,154,61,5,12,591,138,591,654,9.5,1755,5206,5842,1363,910,219,54,180,738,692,498,723,42,26.4,26,35.9,85
1955,"Cardinals",67,85,423,149,42,8,15,683,184,536,710,9.1,1997,5197,5777,1362,959,225,36,142,648,601,451,587,64,13.2,27,22.3,68
1955,"Cubs",72,81,363,154,47,9,23,639,153,601,686,13.6,1804,5059,5589,1255,857,181,54,163,611,589,407,782,36,11.4,29,25,72
1955,"Dodgers",97,55,357,154,46,9,37,559,167,478,764,18.5,1807,5171,6014,1403,928,230,44,201,855,799,673,711,79,33.8,27.5,52.3,98
1955,"Giants",71,69,377,133,46,6,14,527,137,512,650,11.5,1942,5091,5703,1335,973,167,33,162,682,618,469,550,38,15.3,28,26.8,80
1955,"Indians",93,59,340,152,45,13,33,500,110,540,856,20.9,1697,4376,5139,1114,800,157,26,131,601,559,603,622,23,17.7,26.5,38.6,93
1955,"Orioles",33,56,205,94,22,6,7,386,53,384,341,4.9,1395,3643,4121,891,708,122,27,34,374,338,401,502,17,3.4,27.5,8.3,57
1955,"Phillies",71,73,315,138,53,6,21,538,152,440,611,11.2,1407,3891,4496,992,694,156,43,99,518,493,507,506,40,18.6,27,29.8,77
1955,"Pirates",60,94,353,154,41,5,16,665,142,536,622,14.9,1820,5013,5609,1235,877,208,60,90,537,528,454,624,21,-1,25,13.9,60
1955,"Red Sox",83,70,337,154,44,9,34,571,128,579,671,18.7,1792,5199,6052,1376,964,236,39,137,751,705,703,712,42,26.3,25,45,84
1955,"Tigers",77,69,304,153,66,15,9,547,118,487,609,15.7,1615,4725,5373,1253,919,186,36,112,673,633,517,517,30,19,25,34.7,79
1955,"White Sox",85,57,310,142,54,16,21,458,99,450,663,19.3,1582,4366,5051,1177,884,166,29,98,614,568,497,491,61,24.1,30,43.4,91
1955,"Yankees",92,50,320,141,49,17,33,447,90,669,700,9.8,1928,5120,5900,1337,928,179,55,175,760,716,606,650,55,38.3,25,48.1,96
1956,"Athletics",52,97,382,145,30,3,18,707,180,648,623,4.1,1641,4107,4577,1025,746,154,31,94,486,467,367,626,30,2.2,27,6.3,52
1956,"Braves",92,62,332,155,64,12,27,480,133,467,639,10.7,1931,5177,5863,1345,905,211,54,175,707,660,482,713,29,30.1,27,40.8,92
1956,"Cardinals",45,54,246,99,21,5,17,375,92,357,471,8.9,1199,3482,3889,965,683,158,32,92,469,436,350,397,33,17,26,25.9,76
1956,"Cubs",58,85,332,147,37,6,17,546,146,557,696,10,1876,5253,5845,1279,886,201,50,142,595,562,446,776,55,9.7,28,19.7,60
1956,"Dodgers",80,55,321,127,37,8,30,469,146,384,654,12.9,1823,4969,5749,1286,866,209,36,175,710,664,645,723,65,29.7,26.5,42.6,93
1956,"Giants",60,79,367,138,29,8,24,499,118,489,661,12.2,1527,3678,4056,874,597,131,30,116,390,367,299,513,63,5.4,27,17.6,67
1956,"Indians",88,66,335,155,67,16,24,509,115,562,843,22.1,1778,4898,5708,1197,842,186,22,147,685,647,656,730,40,16.1,28,38.2,88
1956,"Orioles",48,54,257,101,26,5,20,423,62,400,456,9.3,1330,3227,3626,752,569,110,20,53,346,314,315,491,27,-0.5,26,8.8,69
1956,"Phillies",54,60,273,107,44,2,13,462,121,298,510,9,1603,4564,5157,1141,809,179,42,111,588,543,489,609,37,8.8,27,17.8,71
1956,"Pirates",66,84,386,155,37,6,21,548,136,443,632,12.8,1853,4603,5082,1148,827,176,46,99,509,491,337,669,18,5.9,25,18.7,66
1956,"Red Sox",84,68,316,155,50,8,20,638,129,653,701,18.1,1901,5343,6209,1471,1026,261,45,139,780,750,727,688,28,28.4,26,46.5,84
1956,"Tigers",81,71,335,154,62,9,15,615,139,646,784,13.7,1723,5007,5725,1416,1020,200,50,146,747,711,594,576,38,28,25,41.7,82
1956,"White Sox",57,47,177,116,54,8,5,391,82,356,531,15.3,1479,4379,5087,1183,848,182,40,113,656,617,527,535,67,24.3,29,39.6,85
1956,"Yankees",97,57,326,154,50,9,33,547,111,646,725,14.1,1858,5154,5900,1394,968,188,53,185,834,772,602,743,50,34,26,48.1,97
1957,"Athletics",55,83,380,135,23,3,19,584,136,516,546,7.1,1631,4138,4523,1007,695,155,28,129,439,416,284,599,24,5.8,28,12.9,59
1957,"Braves",92,58,327,150,58,9,24,523,116,555,678,8.2,1665,4653,5169,1250,830,180,54,186,666,653,404,667,30,30.3,27,38.5,95
1957,"Cardinals",86,62,324,154,46,10,16,553,132,471,731,16,1892,5398,5996,1477,1075,231,41,130,729,672,482,658,57,20.1,26,36.1,87
1957,"Cubs",55,84,362,142,28,5,17,576,128,530,742,10.2,1658,4151,4584,977,673,170,22,112,480,438,342,810,20,4.2,27,14.4,62
1957,"Dodgers",78,64,332,137,40,16,28,484,131,428,834,19.1,1811,5180,5876,1319,948,187,38,146,685,644,549,829,60,18.2,27,37.3,84
1957,"Giants",64,77,385,137,33,8,19,556,136,425,638,9.4,1807,4463,4927,1120,806,138,43,133,526,512,381,572,53,8.3,28,17.7,69
